"Project","Task","Start","End"
"Data collection","Use IssueCrawler to expand lists","2015-11-15","2015-11-20"
"Data collection","Complete INGO databases","2015-11-21","2015-11-25"
"Data collection","Find all INGO legislation","2015-11-16","2015-12-15"
"Data collection","Code INGO restrictions","2015-12-15","2015-12-25"
"Data collection","Develop general INGO survey","2015-11-15","2015-11-25"
"Data collection","Administer survey","2015-11-25","2015-12-31"
"Data analysis","Model stability and restrictions","2015-12-25","2015-12-31"
"Writing","Chapter on formal restrictions (H1)","2016-01-01","2016-02-02"
"Writing","Paper or chapter on survey results (H3 and H4)","2016-01-15","2016-02-15"
"Writing","ISA conference in Atlanta","2016-03-16","2016-03-19"
"Data collection","Historical INGO restrictions in China","2016-02-01","2016-03-01"
"Data collection","Historical INGO restrictions in Egypt","2016-02-01","2016-03-01"
"Data collection","Fieldwork in London and Beijing","2016-05-01","2016-06-01"
"Data analysis","Analyze restrictions in China and Egypt","2016-03-01","2016-04-01"
"Data analysis","Analyze INGO activities","2016-04-01","2016-06-01"
"Writing","Chapter on application of restrictions (H2)","2016-04-01","2016-06-15"
"Writing","Chapter on INGO ideal points (H3)","2016-05-01","2016-07-01"
"Writing","Chapter on INGO flexibility (H4)","2016-05-01","2016-07-01"
"Writing","Theory","2016-07-01","2016-08-01"
"Writing","Conclusion","2016-08-01","2016-09-15"
"Writing","Introduction","2016-08-01","2016-09-15"
