Date,ISO3,law,note,include_plot,plot_y,plot_h
1995-01-01,RUS,Law on Public Associations,,1,2,left
1997-09-26,RUS,Law on the Freedom of Conscience and Religious Organizations,http://www.legislationline.org/documents/id/17909,0,,
1999-07-01,RUS,NGO Re-registration deadline,,1,1,center
2006-01-10,RUS,Federal Law No. 18-FZ,,1,1.5,center
2012-07-20,RUS,Foreign Agents Law,,1,1,center
2015-05-19,RUS,Undesirable Organizations Law,,1,2,right
2002-01-01,EGY,Law on Associations andXXXFoundations (no. 84/2002),,1,1,right
2011-01-31,EGY,Draft NGO law announced,,1,2,right
2013-11-24,EGY,"Law on the Right to Public Meetings, ProcessionsXXXand Peaceful Demonstrations (no. 107/2013)",,1,0.75,right
2014-09-01,EGY,Amendments to Penal Code Article 78,,1,3,center
2015-07-01,EGY,Draft NGO law finalized,,1,2,center
1998-10-25,CHN,"Regulations on the Registration and Management of Social Organizations, Civil Non-Enterprise Institutions and Public Institutions",,1,1,left
1999-06-28,CHN,Public Welfare Donations Law,,1,1,center
2000-04-10,CHN,Provisional Measures Regarding the Management of Social Welfare Organizations,,1,1,center
2001-04-28,CHN,Trust Law of People’s Republic of China,,1,1,center
2004-03-08,CHN,Regulations on the Management of Foundations,,1,1,center
2004-09-01,CHN,Accounting System for Nonprofit Organizations,,1,1,center
2004-06-11,CHN,Ruling on tax exemption of foreign enterprises,,1,1,center
2006-01-12,CHN,Measures for the Information Disclosure of Foundations and Measures for Annual Inspection of Foundations,,1,1,center
2009-12-25,CHN,Ruling on foreign funding given to domestic institutions,,1,1,center
2015-07-01,CHN,National Security Law,,1,1,center
2015-12-01,CHN,Counterterrorism Law,,1,1,center
2016-03-16,CHN,Charity Law,,1,1,center
2016-04-28,CHN,Overseas NGO Law,,1,1,right
