ISO3,Date_start,Date_end,president
RUS,1991-08-21,1999-12-31,Boris Yeltsin
RUS,2000-01-01,2008-05-07,Vladimir Putin
RUS,2008-05-07,2012-05-07,Dmitry Medvedev
RUS,2012-05-07,2016-12-31,Vladimir Putin
EGY,1981-10-14,2011-02-11,Hosni Mubarak
EGY,2011-02-11,2012-06-30,Mohamed Hussein Tantawi
EGY,2012-06-30,2013-07-03,Mohamed Morsi
EGY,2013-07-04,2014-06-08,Adly Mansour
EGY,2014-06-08,2016-12-31,Abdel Fattah el-Sisi
CHN,1980-09-10,1997-02-19,Deng Xiaoping
CHN,1997-02-19,2003-03-15,Jiang Zemin
CHN,2003-03-15,2012-11-15,Hu Jintao
CHN,2012-11-15,2016-12-31,Xi Jinping
JOR,1952-08-11,1999-02-07,Hussein
JOR,1999-02-07,2016-12-31,Abdullah
MMR,1992-04-23,2011-03-30,Than Shwe
MMR,2011-03-30,2016-12-31,Thein Sein
KAZ,1990-04-24,2016-12-31,Nursultan Nazarbayev
