ISO3,Date_start,Date_end,war,note
RUS,1994-12-11,1996-08-31,First Chechen War,
RUS,1999-08-02,1999-09-14,War of Dagestan,
RUS,1999-08-26,2009-04-15,Second Chechen War,
RUS,2008-08-07,2008-08-30,Russo-Georgian War,"Technically ended on 2008-08-12, but expanded here so it can be graphed"
RUS,2014-02-20,2014-03-19,Annexation of Crimea,
RUS,2014-04-06,2016-12-31,War in Eastern Ukraine,
EGY,2011-01-25,2011-02-11,2011 Revolution,
EGY,2011-02-12,2016-12-31,Post-Revolutionary Crisis and Sinai Insurgency,
CHN,2012-01-01,2016-12-31,Escalation in South China Sea disputes,
JOR,2003-03-20,2011-12-18,US invasion of Iraq,
JOR,2011-02-15,2011-10-23,Libyan Civil War,
JOR,2014-06-13,2016-12-31,Intervention against ISIS,
KAZ,2003-03-20,2011-12-18,US invasion of Iraq,Kind of-they only had a couple dozen troops
MMR,1948-01-04,2016-12-31,Civil War,Longest running civil war in world?
