Year,Name,Category,Home country,URL,Type,Award name
2017,Rebel Pepper,Arts,China,https://www.indexoncensorship.org/2017/04/arts-fellow-2017/,Individual,
2017,Ildar Dadin,Campaigning,Russia,https://www.indexoncensorship.org/2017/04/campaigning-fellow-2017/,Individual,
2017,Turkey Blocks,Digital activism,Turkey,https://www.indexoncensorship.org/2017/04/digital-activism-2017/,Software,
2017,Maldives Independent,Journalism,Maldives,https://www.indexoncensorship.org/2017/04/journalism-2017/,Organization,
2016,Murad Subay,Arts,Yemen,https://www.indexoncensorship.org/2016/11/arts-fellow-2016/,Individual,
2016,Bolo Bhi,Campaigning,Pakistan,https://www.indexoncensorship.org/2016/03/campaigning-2016/,Organization,
2016,GreatFire,Digital activism,China,https://www.indexoncensorship.org/2016/03/digital-activism-2016/,Software,
2016,Zaina Erhaim ,Journalism,Syria,https://www.indexoncensorship.org/2016/03/journalism-2016/,Individual,
2016,Serge Martin Bambara AKA Smockey,Music in exile,Burkina Faso,https://www.indexoncensorship.org/2016/03/music-in-exile-2016/,Individual,
2015,Mouad “El Haqed” Belghouat,Arts,Morocco,https://www.indexoncensorship.org/2015/03/arts-2015/,Individual,
2015,Amran Abdundi,Campaigning,Kenya,https://www.indexoncensorship.org/2015/03/campaigning-2015/,Individual,
2015,Tamás Bodoky,Digital activism,Hungary,https://www.indexoncensorship.org/2015/03/digital-activism-2015/,Individual,
2015,Safa Al Ahmad ,Journalism,Saudi Arabia,https://www.indexoncensorship.org/2015/03/journalism-2015-2/,Individual,
2015,Rafael Marques de Morais,Journalism,Angola,https://www.indexoncensorship.org/2015/03/journalism-2015/,Individual,
2014,Shahzad Ahmad,Advocacy,Pakistan,https://www.indexoncensorship.org/2014/11/awards-2014/,Individual,
2014,Mayam Mahmoud,Arts,Egypt,https://www.indexoncensorship.org/2014/11/awards-2014/,Individual,
2014,Shubhranshu Choudhary,Digital activism,India,https://www.indexoncensorship.org/2014/11/awards-2014/,Individual,
2014,Azadliq,Journalism,Azerbaijan,https://www.indexoncensorship.org/2014/11/awards-2014/,Publication,
2013,Malala Yousafzai,Advocacy,Pakistan,https://www.indexoncensorship.org/2013/11/awards-2013/,Individual,
2013,Kostas Vaxevanis,Journalism,Greece,https://www.indexoncensorship.org/2013/11/awards-2013/,Individual,
2013,Bassel Khartabil,Digital activism,Syria,https://www.indexoncensorship.org/2013/11/awards-2013/,Individual,
2013,Zanele Muholi,Arts,South Africa,https://www.indexoncensorship.org/2013/11/awards-2013/,Individual,
2012,Idrak Abbasov,Journalism,Azerbaijan,https://www.indexoncensorship.org/2012/11/awards-2012/,Individual,The Guardian Journalism Award
2012,Nabeel Rajab,Advocacy,Bahrain,https://www.indexoncensorship.org/2012/11/awards-2012/,Individual,
2012,Ali Ferzat,Arts,Syria,https://www.indexoncensorship.org/2012/11/awards-2012/,Individual,
2012,Kubatana / Freedom Fone,Other,Zimbabwe,https://www.indexoncensorship.org/2012/11/awards-2012/,Software,The Google Innovation Award
2012,Memorial Archive of St Petersburg,Other,Russia,https://www.indexoncensorship.org/2012/11/awards-2012/,Organization,40th Anniversary Award
2011,Tunileaks,New Media,Tunisia,https://www.indexoncensorship.org/2011/03/awards-2011/,Website,New Media Award
2011,Gao Zhisheng,Campaigning,China,https://www.indexoncensorship.org/2011/03/awards-2011/,Individual,Bindmans Law and Campaigning Award
2011,Ibrahim Eissa,Journalism,Egypt,https://www.indexoncensorship.org/2011/03/awards-2011/,Individual,The Guardian Journalism Award
2011,Maqbool Fida (MF) Husain ,Arts,India,https://www.indexoncensorship.org/2011/03/awards-2011/,Individual,The Intelligent Life Arts Award
2011,Belarus’s prisoners of conscience,Special,Belarus,https://www.indexoncensorship.org/2011/03/awards-2011/,Group of people,Special Commendation
2010,Twitter,New Media,Global,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Website,
2010,Rashid Hajili,Campaigning,Azerbaijan,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Individual,Bindmans Law and Campaigning Award
2010,Radio La Voz,Journalism,Peru,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Publication,The Guardian Journalism Award
2010,Andalus Press,Publishing,Israel,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Organization,Sage International Publishing Award
2010,Mahsa Vahdat,Arts,Iran,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Individual,The Freemuse Award for Music
2010,Heather Brooke,Special,United Kingdom,https://www.indexoncensorship.org/2010/03/awards-2010-2/,Individual,Special Commendation
2009,Psiphon,New Media,Global,https://www.indexoncensorship.org/2009/03/awards-2009/,Software,The Economist New Media Award
2009,Malik Imtiaz Sarwar,Campaigning,Malaysia,https://www.indexoncensorship.org/2009/03/awards-2009/,Individual,The Guardian Journalism Award
2009,The Sunday Leader,Journalism,Sri Lanka,https://www.indexoncensorship.org/2009/03/awards-2009/,Publication,The Guardian Journalism Award
2009,The Devil Came on Horseback,Film,United States,https://www.indexoncensorship.org/2009/03/awards-2009/,Film,Index Film Award
2009,Beijing Coma by Ma Jian,Book,China,https://www.indexoncensorship.org/2009/03/awards-2009/,Book,TR Fyvel Book Award
2008,Wikileaks,New Media,Global,https://www.indexoncensorship.org/2008/03/awards-2008/,Website,The Economist New Media Award
2008,U Gambira,Campaigning,Burma,https://www.indexoncensorship.org/2008/03/awards-2008/,Individual,Bindmans Law and Campaigning Award
2008,Arat Dink and Agos Magazine,Journalism,Armenia,https://www.indexoncensorship.org/2008/03/awards-2008/,Publication,The Guardian Journalism Award
2008,Ahlaam and Mohamed Al-Daradji,Film,Iraq,https://www.indexoncensorship.org/2008/03/awards-2008/,Film,Index Film Award
2008,The Art of Political Murder: Who killed Bishop Gerardi? By Francisco Goldman,Book,Guatemala,https://www.indexoncensorship.org/2008/03/awards-2008/,Book,TR Fyvel Book Award
2007,Chen Guangcheng,Whistleblower,China,https://www.indexoncensorship.org/2007/03/awards-2007/,Individual,
2007,Siphiwe Hlophe,Campaigning,Swaziland,https://www.indexoncensorship.org/2007/03/awards-2007/,Individual,Bindmans Law and Campaigning Award
2007,Kareem Amer,Journalism,Egypt,https://www.indexoncensorship.org/2007/03/awards-2007/,Individual,The Index / Hugo Young Journalism Award
2007,5 Days and Yoav Shamir,Film,Israel,https://www.indexoncensorship.org/2007/03/awards-2007/,Film,Index Film Award
2007,Being Arab by Samir Kassir,Book,Lebanon,https://www.indexoncensorship.org/2007/03/awards-2007/,Book,TR Fyvel Book Award
2006,Huang Jingao,Whistleblower,China,https://www.indexoncensorship.org/2006/03/awards-2006/,Individual,
2006,Beatrice Mtetwa,Campaigning,Zimbabwe,https://www.indexoncensorship.org/2006/03/awards-2006/,Individual,Bindmans Law and Campaigning Award
2006,Sihem Bensedrine,Journalism,Tunisia,https://www.indexoncensorship.org/2006/03/awards-2006/,Individual,The Index / Hugo Young Journalism Award
2006,"Turtles Can Fly, director Bahman Ghobadi",Film,Iraq,https://www.indexoncensorship.org/2006/03/awards-2006/,Film,Index Film Award
2006,Into The Quick of Life: The Rwandan Genocide: The Survivors Speak and A Time for Machetes: The Rwandan Genocide: The Killers Speak by Jean Hatzfeld.,Book,Rwanda,https://www.indexoncensorship.org/2006/03/awards-2006/,Book,TR Fyvel Book Award
2005,Grigoris Lazos,Whistleblower,Greece,https://www.indexoncensorship.org/2005/03/awards-2005/,Individual,
2005,Centre for Constitutional Rights,Law,United States,https://www.indexoncensorship.org/2005/03/awards-2005/,Organization,Index Law Award
2005,Sumi Khan,Journalism,Bangladesh,https://www.indexoncensorship.org/2005/03/awards-2005/,Individual,The Index / Hugo Young Journalism Award
2005,"Final Solution, director Rakesh Sharma",Film,India,https://www.indexoncensorship.org/2005/03/awards-2005/,Film,Index Film Award
2005,Soldiers of Light by Daniel Bergner,Book,Sierra Leone,https://www.indexoncensorship.org/2005/03/awards-2005/,Book,Index Book Award
2004,Satyendra Kumar Dubey,Whistleblower,India,https://www.indexoncensorship.org/2004/03/awards-2004/,Individual,
2004,Mordechai Vanunu,Special,Israel,https://www.indexoncensorship.org/2004/03/awards-2004/,Individual,Index Special Award
2004,Kaveh Golestan,Journalism,Iraq,https://www.indexoncensorship.org/2004/03/awards-2004/,Individual,The Index / Hugo Young Journalism Award
2004,"Amandla! A Revolution in Four Part Harmony, Director Lee Hirsch",Film,South Africa,https://www.indexoncensorship.org/2004/03/awards-2004/,Film,Index Film Award
2004,Slave by Mende Nazer and Damien Lewis,Book,Sudan,https://www.indexoncensorship.org/2004/03/awards-2004/,Book,Index Book Award
2004,Edward Said and Daniel Barenboim,Music,Israel,https://www.indexoncensorship.org/2004/03/awards-2004/,Music,Index Music Award
2004,John Ashcroft,Censorship,United States,https://www.indexoncensorship.org/2004/03/awards-2004/,Individual,Censor of the Year
2003,Tony Kevin,Whistleblower,Australia,https://www.indexoncensorship.org/2003/03/awards-2003/,Individual,International Whistleblower of the Year
2003,Al Jazeera,Journalism,Qatar,https://www.indexoncensorship.org/2003/03/awards-2003/,Publication,Best Circumvention of Censorship
2003,Hashem Aghajari,Other,Iran,https://www.indexoncensorship.org/2003/03/awards-2003/,Individual,Most Courageous Defence of Free Expression
2003,Fergal Keane,Journalism,Zimbabwe,https://www.indexoncensorship.org/2003/03/awards-2003/,Individual,Outstanding Commitment to Journalistic Integrity
2003,Jonathan Moyo,Censorship,Zimbabwe,https://www.indexoncensorship.org/2003/03/awards-2003/,Individual,Award for Services to Censorship
2002,Jiang Weiping,Whistleblower,China,https://www.indexoncensorship.org/2002/03/awards-2002/,Individual,International Whistleblower of the Year
2002,Şanar Yurdatapan,Other,Turkey,https://www.indexoncensorship.org/2002/03/awards-2002/,Individual,Best Circumvention of Censorship
2002,Anna Politkovskaya,Journalism,Russia,https://www.indexoncensorship.org/2002/03/awards-2002/,Individual,Most Courageous Defence of Free Expression
2002,Silvio Berlusconi,Censorship,Italy,https://www.indexoncensorship.org/2002/03/awards-2002/,Individual,Award for Services to Censorship
2001,Grigory Pasko,Whistleblower,Russia,https://www.indexoncensorship.org/2001/03/awards-2001/,Individual,International Whistleblower of the Year
2001,"Lauri Cranor, Avi Rubin and Marc Waldman",Journalism,Global,https://www.indexoncensorship.org/2001/03/awards-2001/,Software,Best Circumvention of Censorship
2001,Mashallah Shamsolvaezin,Journalism,Iran,https://www.indexoncensorship.org/2001/03/awards-2001/,Individual,Most Courageous Defence of Free Expression
2001,UK Ministry of Defence,Censorship,United Kingdom,https://www.indexoncensorship.org/2001/03/awards-2001/,Organization,Award for Services to Censorship
